Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Jogging Anzug, 2-tlg.";"Jenzi";"FA77053";"Räuchern, Angeln>Bekleidung>Bekleidung>Bekleidung allgemein";"Eine Kombination aus Langarm-Shirt und einer passenden Hose. Die isolierenden und wärmespeichernden Eigenschaften sowie der bequeme Tragekomfort sind so angenehm, dass der Anzug direkt auf der Haut getragen werden kann. Material: 100 % Polyester. 2-teiliger Kombi Anzug Bequem als leichte Angelbekleidung Geeignet als unterste Schicht bei Winterbekleidung Angenehm als Bekleidung im Schlafsack Abnehmbare Mütze Unterlegter Reißverschluss am Hals Reißverschluss an den Bein-Enden Größenverstellbar am Bund des Oberteils und der Hose Größe M-XXXL.";https://www.faie.at/media/image/04/82/d3/art_pro_fo_ka_80746_200x200.jpg;"https://www.faie.at/raeuchern-angeln/bekleidung/bekleidung/bekleidung-allgemein/5077053/jogging-anzug-2-tlg.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);39,99;64,95;"4014037889763"; 6,95;
"Softshell Jacke Ground Contact";"Jenzi";"FA77233";"Räuchern, Angeln>Bekleidung>Bekleidung>Bekleidung allgemein";"Diese modisch trendige, wasser- und windabweisende, atmungs aktive Softshell-Jacke ist nicht nur sehr bequem, sondern auch für jede Wetterlage und jeden Anlass geeignet. Ein ‚spezielles’ Materials macht die Jacke‚dehnbar’ und sorgt für einen sehr angenehmen und bequemen Tragekomfort. Das innere Fleece-Material der Jacke sorgt für wohlige Wärme. Material: 94 % Polyester, 6 % Spandex/Elastan (mit Micro Fleece). Wasserdichte Reißverschlüsse Hinterlegter Reißverschluss (verhindert das Reiben am Hals) Atmungsaktives Material mit „Membran-Funktion“ Größenverstellung am Bund der Jacke Armbündchen mit Klettverschluss Zwei große Innentaschen Größe M-XXXL.";https://www.faie.at/media/image/ab/9a/79/art_pro_fo_ka_80747_200x200.jpg;"https://www.faie.at/raeuchern-angeln/bekleidung/bekleidung/bekleidung-allgemein/5077233/softshell-jacke-ground-contact";lagernd (derzeit bis zu 10 Werktage Lieferzeit);39,99;51,95;""; 6,95;
"Edelstahlkette";"keine Angabe";"FA77523";"Forst>Forstketten, Seile, Seilwinden>Normketten, Zubehör>Edelstahlketten und Zubehör";"Preis per Meter und inkl. Ablängservice, Größe: Länge innen x Breite innen";https://www.faie.at/media/image/83/d5/ea/art_pro_fo_ce_77523_200x200.jpg;"https://www.faie.at/forst/forstketten-seile-seilwinden/normketten-zubehoer/edelstahlketten-und-zubehoer/5077523/edelstahlkette";lagernd (derzeit bis zu 10 Werktage Lieferzeit);9,99;13,95;""; 9,95;
"Wollrasierer";"Wenko";"FA77578";"Haushalt, Gesundheit>Haushalt>Ordnung & Sauberkeit>Wäsche & Co.";"Zur schonenden Beseitigung hässlicher Wollknötchen von Textilien, insbesondere von Strickwaren. Sie benötigen 2Stück AA Batterien, im Lieferumfang nicht enthalten.";https://www.faie.at/media/image/51/2f/81/art_pro_fo_ia_77578_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/ordnung-sauberkeit/waesche-co./5077578/wollrasierer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);5,99;8,99;"4008838932988"; 9,95;
"Schnellwechselplatten EURO schraubbar";"K.T.S";"FA77596";"Forst>Holzgreifer, Rotatore, Bagger>Holzgreifer, Zubehör>Holzgreifer";"gerade Platten mit je 4 x 17 mm Bohrungen, zum Anschrauben oder auch Anschweißen an allen Anbaugeräten. Maße: Bohrungen 420 x 70 mm, Platte 16mm stark, 490 x 185 mm, Lieferung per Paar.";https://www.faie.at/media/image/8a/0a/3f/art_pro_fo_hf_77596_200x200.jpg;"https://www.faie.at/forst/holzgreifer-rotatore-bagger/holzgreifer-zubehoer/holzgreifer/5077596/schnellwechselplatten-euro-schraubbar";lagernd (derzeit bis zu 10 Werktage Lieferzeit);199,00;229,00;""; 0;
"Ladegerät ASC 30 - 36 V";"Metabo";"FA77699";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeug Zubehör>Akkus und Ladegeräte";"Geeignet für Lithium Ion Akkus von Metabo";https://www.faie.at/media/image/5e/55/12/art_pro_fo_ab_77699_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeug-zubehoer/akkus-und-ladegeraete/5077699/ladegeraet-asc-30-36-v";lagernd (derzeit bis zu 10 Werktage Lieferzeit);49,95;64,90;"4007430215833"; 6,95;
"Bremskolben Rückstellsatz, 18-tlg.";"keine Angabe";"FA78087";"Werkzeuge Maschinen>Handwerkzeug>PKW-Zubehör und Werkzeug>Autopflege, Wartung>KFZ-Spezialwerkzeug";"18 teiliger Bremsenrückstellsatz mit einer Doppelspindel (rechts / links) zum Drehen und Drücken der Bremskolben. Passend für alle gängigen PKW’s.";https://www.faie.at/media/image/05/a7/f2/art_pro_fo_bf_78087_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/pkw-zubehoer-und-werkzeug/autopflege-wartung/kfz-spezialwerkzeug/5078087/bremskolben-rueckstellsatz-18-tlg.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);59,95;79,50;"4022706214204"; 6,95;
"Damen Polo-Shirt Top purple";"Hakro";"FA78518";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Damen Bekleidung";"Hochwertiges, feinmaschiges Piqué- Poloshirt aus langstapeliger, ringgesponnener und gekämmter Baumwolle mit körpernahem Schnitt, verzkürzte 2-Loch-Knopfleiste mit extra haltbar vernähten, bruchsicheren Knöpfen „Ton in Ton“. Nackenband, doppelt geriegelte Seitenschlitze, ein Ersatzknopf und ein gewebtes Hakro-Flaglabel in der linken Seitennaht. einlaufvorbehandelt (sanforisiert). Material: 100% Baumwolle. 200g/m². Größe XS-3XL.";https://www.faie.at/media/image/33/3b/29/art_pro_fo_da_80754_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/damen-bekleidung/5078518/damen-polo-shirt-top-purple";lagernd (derzeit bis zu 10 Werktage Lieferzeit);16,95;29,90;"4045981047282"; 9,95;
"Damen Polo-Shirt Top apfel";"Hakro";"FA78931";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Damen Bekleidung";"Hochwertiges, feinmaschiges Piqué- Poloshirt aus langstapeliger, ringgesponnener und gekämmter Baumwolle mit körpernahem Schnitt, verzkürzte 2-Loch-Knopfleiste mit extra haltbar vernähten, bruchsicheren Knöpfen „Ton in Ton“. Nackenband, doppelt geriegelte Seitenschlitze, ein Ersatzknopf und ein gewebtes Hakro-Flaglabel in der linken Seitennaht. einlaufvorbehandelt (sanforisiert). Material: 100% Baumwolle. 200g/m². Größe XS-3XL.";https://www.faie.at/media/image/bb/25/e4/art_pro_fo_da_80755_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/damen-bekleidung/5078931/damen-polo-shirt-top-apfel";lagernd (derzeit bis zu 10 Werktage Lieferzeit);16,95;29,95;"4045981070952"; 9,95;
"Damen Polo-Shirt Top orange";"Hakro";"FA79462";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Damen Bekleidung";"Hochwertiges, feinmaschiges Piqué- Poloshirt aus langstapeliger, ringgesponnener und gekämmter Baumwolle mit körpernahem Schnitt, verzkürzte 2-Loch-Knopfleiste mit extra haltbar vernähten, bruchsicheren Knöpfen „Ton in Ton“. Nackenband, doppelt geriegelte Seitenschlitze, ein Ersatzknopf und ein gewebtes Hakro-Flaglabel in der linken Seitennaht. einlaufvorbehandelt (sanforisiert). Material: 100% Baumwolle. 200g/m². Größe XS-3XL.";https://www.faie.at/media/image/3d/d8/da/art_pro_fo_da_80758_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/damen-bekleidung/5079462/damen-polo-shirt-top-orange";lagernd (derzeit bis zu 10 Werktage Lieferzeit);16,95;19,95;"4045981015090"; 9,95;
"Elektroheizer FA 330 W";"keine Angabe";"FA97168";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Heiz-, Kühl-, Trocknungsgeräte>Heizgeräte";"Kompakter 230V Elektroheizer für Wohnungen, Werkstätten, Lokale, Lagerräume, Garagen, etc. Mit robustem Metallgehäuse und sicherheitsisolierten Tragegriffen, Heizelement rostfrei. Heizleistung ist in Schaltstufen regelbar, mit eingebautem Raumthermostat. Mit den 230V universell einsetzbar – auch im Haushalt oder der Garage! Technische Daten: Wärmeleistung: 3,3kW / 2840kCal/h Luftdurchsatz: 400 m³/h Spannung: 230V Maße: 25x25x42cm Gewicht: 7,5kg";https://www.faie.at/media/image/46/92/1b/art_pro_fo_ac_97168_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/heiz-kuehl-trocknungsgeraete/heizgeraete/5097168/elektroheizer-fa-330-w";lagernd (derzeit bis zu 10 Werktage Lieferzeit);119,95;149,00;"5709336430073"; 6,95;
"Elektroheizer FA 500 DM, 3,3kW";"keine Angabe";"FA97171";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Heiz-, Kühl-, Trocknungsgeräte>Heizgeräte";"Hochwertiges Elektroheizgerät für die Landwirtschaft, (Bau-) Gewerbe, Werkstätten, Lagerräume, Wohnungen,… Die Heizleistung des Geräts ist in Schaltstufen regelbar; verfügt über ein eingebautes Raumthermostat, die Heizelemente sind rostfrei, ein Überhitzungsschutz wird durch ein Sicherheitsthermostat gewährleistet. Das robuste Metallgehäuse schützt das Gerät, sicherheitsisolierte Tragegriffe garantieren ein einfaches und sicheres Transportieren des Geräts. Zusätzlicher Motor Stop mit Nachlaufverzögerung und automatischem Wiederanlauf bei Erreichen bzw Überschreiten der eingestellten Temperatur. Technische Daten: Wärmeleistung [kW]: 5,0 Wärmeleistung [kCal/h]: 4300 Luftdurchsatz [m³/h]: 400 Spannung [V]: 400 Gewicht [kg]: 8,0 Abmessungen l x t x h [cm]: 25 x 25 x 42";https://www.faie.at/media/image/17/86/17/art_pro_fo_db_26773_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/heiz-kuehl-trocknungsgeraete/heizgeraete/5097171/elektroheizer-fa-500-dm-3-3kw";nicht lagernd (10-14 Werktage Lieferzeit);219,00;229,00;"5709336440539"; 0;
"Motorsense Stihl FS 89";"Stihl";"FA97195";"Forst>Forst-Zubehör>Aufforstungs- / Kulturwerkzeug>Durchforstungswerkzeug";"Kraftvolle Motorsense mit Stihl 4-MIX®-Motor und Zweihandgriff! - Für Flächenarbeiten in zähem Gras. Vereinfachter Startvorgang durch Primerpumpe und automatisches Dekompressionsventil, Zweihandgriff für ergonomische Mähen auch wenn oft größere Flächen gemäht werden sollen, Multifunktionsgriff für einfache Bedienung mit Stopptaster, Doppelschultergurt mit weicher Polsterung erleichter die Arbeit auch bei Langzeiteinsätzen. Mit 2-flügeligem Grasmesser mit 230 mm Durchmesser (Fadenkopf optional). STIHL 4-MIX®-Motor Kombiniert die Vorteile aus 2-Takt- und 4-Takt-Motor. Weniger Abgase, kein Ölservice nötig, angenehmes Klangbild. Excellente Durchzugskraft und hohes Drehmoment, 4-MIX®-Motor mit vergrößertem Tank für längere Laufzeiten, Technische Daten: Hubraum: 27,2 cm³ Leistung: 0,95 kW / 1,3 PS Gewicht: 5,8 kg ohne Schneidausrüstung Standard-Schneidwerkzeug: Grasschneidblatt 230-2 Schall...";https://www.faie.at/media/image/02/ab/88/art_pro_fo_cd_97195_200x200.jpg;"https://www.faie.at/forst/forst-zubehoer/aufforstungs-kulturwerkzeug/durchforstungswerkzeug/5097195/motorsense-stihl-fs-89";lagernd (derzeit bis zu 10 Werktage Lieferzeit);499,00;539,00;""; 0;
"Heizstrahler 4,2kW";"keine Angabe";"FA97384";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Heiz-, Kühl-, Trocknungsgeräte>Heizgeräte";"Praktischer Infrarot Aufsatz Kompaktstrahler zum direktem Anschluss an einer 5 oder 11kg Gasflasche. Stufenlos regelbar, mit Zündsicherung. Lieferung inklusive Anschlussschlauch, Gasdruckregler, und Aufsatzhalterung, ohne Gasflasche. Technische Daten: Anschlussdruck: 50mbar Gewicht: ca. 2,5kg Leistung: 2-4,3kW Verbrauch: ca. 328g/h Länge: 362mm Breite: 261mm Höhe: 108mm";https://www.faie.at/media/image/62/ab/b8/art_pro_fo_ac_97384_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/heiz-kuehl-trocknungsgeraete/heizgeraete/5097384/heizstrahler-4-2kw";lagernd (derzeit bis zu 10 Werktage Lieferzeit);69,90;84,90;"4012294200529"; 6,95;
"Blasgerät Akku Set Stihl BGA 57 Set";"Stihl";"FA97546";"Forst>Forst-Zubehör>Allgemein Forst Zubehör>Allgemein Forst Zubehör";"Kraftvolles Blasgerät im Komplettset inklusive Akku und Ladegerät . Mit diesem Gerät befreien Sie im Handumdrehen den Garten, Hof, Balkon oder den Rasen von Schmutz, Grünschnitt oder Laub. Perfekt ausbalanciert und intuitiv zu bedienen. Blasrohr längsverstellbar um immer die passende Größe je nach Anwender zu haben. Durch die Akku Technologie immer mobil einsetzbar ohne lästigen Benzin oder Kabel, zusätzlich wesentlich leiser. Sämtliche Bedienelemente für die Motorsteuerung sowie der Sicherheitshebel befinden sich in einer Hand, dadurch wird eine einfache und zuverlässige Behandlung gewährleistet – egal ob Sie Rechts- oder Linkshänder sind. Akkulaufzeit mit mitgeliefertem Akku max. 20 Minuten. Technische Daten: Akku: Li-Ion 36V / 2,8 Ah Gewicht lose: 2,1kg Luftgeschwindigkeit: 45m/s Luftdurchsatz max: 750m³/h Schalldruckpegel: 79dB (A)";https://www.faie.at/media/image/87/49/1c/art_pro_fo_db_97546_200x200.jpg;"https://www.faie.at/forst/forst-zubehoer/allgemein-forst-zubehoer/allgemein-forst-zubehoer/5097546/blasgeraet-akku-set-stihl-bga-57-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);269,00;327,00;""; 0;
"Steckschlüsselsatz 55 teilig ¼“ + ½“";"PROMAT";"FA97619";"Werkzeuge Maschinen>Handwerkzeug>Schraubwerkzeug>Steckschlüssel,Kassetten u.Zub>Stecknusskassetten";"6,3 mm ( 1/4"")- und 12,5 mm (1/2"")-Vierkantantrieb · Steckschlüssel-Einsätze und Bedienelemente aus CV-Stahl · matt verchromt · Schraubeinsätze mit Chrom-Vanadium-Sockel und Klingen aus Nickel-Chrom-Molybdän-Stahl · Hebelumschaltknarren mit 2-Komponenten-Griff · praktische zweifarbige Einlage zur einfachen Werkzeug-Vollzähligkeitskontrolle Inhalt: mit 6,3 mm (1/4"")- Vierkantantrieb 1 Umschaltknarre, Rückschwenkwinkel 18° (Stecknuss-Auswurf auf Knopfdruck) je 1 6-kant -Steckschlüssel-Einsatz SW 4 - 5 - 5,5 - 6 - 6,5 - 7 - 8 - 9 - 10 - 11 - 12 - 13 mm je 1 Steckschlüssel-Einsatz für Schrauben mit Innen-TORX®-Profil Gr. T 20 - T 25 - T 27 - T 30 je 1 Steckschlüssel-Einsatz für Schrauben mit Innensechskant-Profil Gr. 3 - 4 - 5 - 6 mm je 1 Verlängerung 50, 150 mm 1 Kardangelenk 1 Handgriff mit Vierkant je 1 Steckschlüssel-Einsatz für Schlitzschrauben 4 - 5,5 mm je 1 Stecksch...";https://www.faie.at/media/image/cc/e3/47/art_pro_fo_ba_97619_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/schraubwerkzeug/steckschluessel-kassetten-u.zub/stecknusskassetten/5097619/steckschluesselsatz-55-teilig";nicht lagernd (10-14 Werktage Lieferzeit);99,90;119,00;"4015448682455"; 6,95;
"Energieholzgreifer Fällgreifer ST200R mit schräger Aufnahme";"FAIE";"FA97671";"Forst>Holzgreifer, Rotatore, Bagger>Holzgreifer, Zubehör>Holzgreifer";"Der Fällgreifer ist die perfekte Hilfe für die Energieholz- und Schwachholz-Ernte oder Durchforstung, sehr stabiles, geschraubtes Schneidmesser mit geschwungener Schneide für bessere Schnittleistung bis zu maximalen 13 -20 cm Stammdurchmesser, je nach Holzart, perfekt für den Einsatz an 5,0, – 10,0 t Baggern, Fällgreifer mit fixer, schräger Anbauplatte zur Befestigung einer Bagger Aufnahme. Hydraulikleistung ca. 40 – 60 L/min, und ein Betriebsdruck von 200 – 230 bar, Gewicht 228 kg";https://www.faie.at/media/image/ab/4d/c1/art_pro_fo_ch_97671-01_200x200.jpg;"https://www.faie.at/forst/holzgreifer-rotatore-bagger/holzgreifer-zubehoer/holzgreifer/5097671/energieholzgreifer-faellgreifer-st200r-mit-schraeger-aufnahme";lagernd (derzeit bis zu 10 Werktage Lieferzeit);4120,00;4990,00;""; 39;
"Gülleschlauch PVC 102mm Innendurchmesser, 30m Rolle";"keine Angabe";"FA97808";"Landtechnik>Landmaschinenteile>Gülleteile>Saug- u. Druckschläuche>PVC-Schläuche";"Als Saug- und Druckschlauch geeignet. Leichter hochflexibler PVC-Schlauch Alabama mit stoßfester Spirale aus Hart-PVC und glatter Innenfläche. Betriebsdruck max. 3 bar, Vakuumbelastung 0,9 bar.";https://www.faie.at/media/image/0d/ae/71/art_pro_fo_hc_97808_200x200.jpg;"https://www.faie.at/landtechnik/landmaschinenteile/guelleteile/saug-u.-druckschlaeuche/pvc-schlaeuche/5097808/guelleschlauch-pvc-102mm-innendurchmesser-30m-rolle";lagernd (derzeit bis zu 10 Werktage Lieferzeit);539,00;639,00;""; 25;
"Doppelendbohrer HSS";"PROMAT";"FA97825";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeug Zubehör>Zubehör zu Bohrmaschinen>Bohrer, Fräser";"Karosseriebohrer, Nietlochbohrer, HSS, profilgeschliffen mit Zylinderschaft, rechtsschneidend mit Kreuzanschliff, kurze Spirale, blanke Ausführung, bestens geeignet zum Bohren von dünnen Materialien, vorwiegend für die Blechbearbeitung.";https://www.faie.at/media/image/d8/6f/30/art_pro_fo_ab_105592_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeug-zubehoer/zubehoer-zu-bohrmaschinen/bohrer-fraeser/5097825/doppelendbohrer-hss";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1,99;3,20;"4015448422310"; 9,95;
"Schermessersatz LC A 57";"Liscop";"FA97858";"Tierhaltung>Tierhaltung>Schermaschinen>Schafe>Schermesser, Scherkämme";"Messersatz für Scherkopf V, für die Schaf-, Lama- und Alpakaschur. Zähne: 4/13 (Ober-/Untermesser), Schnitthöhe: ca. 7 - 10 mm, Schnittbreite: ca. 77 mm.";https://www.faie.at/media/image/51/25/c4/art_pro_fo_fc_97858_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/schermaschinen/schafe/schermesser-scherkaemme/5097858/schermessersatz-lc-a-57";lagernd (derzeit bis zu 10 Werktage Lieferzeit);85,95;99,95;"4018619029875"; 6,95;
"Berg Spiegel 2er Set";"Berg Toys";"FA98101";"Spielzeug, Kindersachen>Spielzeug>Kinderfahrzeuge>Go Karts, Laufräder & Zubehör";"Für zusätzliche Sicherheit Am Frontspoiler anzubringen geeignet für alle Berg Go Karts";https://www.faie.at/media/image/42/ea/ca/art_pro_fo_ib_98101_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/kinderfahrzeuge/go-karts-laufraeder-zubehoer/5098101/berg-spiegel-2er-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);24,90;34,90;"8715839015454"; 9,95;
"Berg Signalhupe";"Berg Toys";"FA98105";"Spielzeug, Kindersachen>Spielzeug>Kinderfahrzeuge>Go Karts, Laufräder & Zubehör";"2-Ton Horn Geeignet für alle Berg Go Karts Maße: 20x10x10 cm";https://www.faie.at/media/image/fd/7d/48/art_pro_fo_ib_98105_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/kinderfahrzeuge/go-karts-laufraeder-zubehoer/5098105/berg-signalhupe";lagernd (derzeit bis zu 10 Werktage Lieferzeit);24,95;29,90;"8715839011951"; 9,95;
"Werkzeugschrank 2 Türen + Lochwand";"keine Angabe";"FA98186";"Werkzeuge Maschinen>Werkstattbedarf>Betriebseinrichtung>Schränke";"Werkzeugschrank aus stabilem Stahlblech, bis zu 1 mm Stärke, kratzfester Pulverbeschichtung und Türen mit Sicherheits-Zylinderschloss + Ersatzschlüssel. Lochrückwände mit Euro-Schlüssel-Lochung und 4 höhenverstellbare Einlegeböden. Rahmen: Hammerschlagsilber, Türen: Anthrazit. B.1600xT.190xH.600mm.";https://www.faie.at/media/image/e6/64/74/art_pro_fo_bd_98186_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/werkstattbedarf/betriebseinrichtung/schraenke/5098186/werkzeugschrank-2-tueren-lochwand";lagernd (derzeit bis zu 10 Werktage Lieferzeit);159,00;239,00;"4005568944007"; 39;
"Glasreiniger 500ml Sprühflasche";"PROMAT";"FA98966";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Großgeräte Zubehör>Technische Sprays>Sonstige Technische Sprays";"Praktische Sprühflasche mit 500ml Glasreiniger befüllt. Reinigt alle gläsernen Flächen von Verschmutzungen aller Art, selbst ölige oder fettige Reste werden rückstandsfrei entfernt. Geeignet für alle abwaschbaren Oberflächen, ebenso für Kunststoff Oberflächen geeignet. Wird unverdünnt auf die zu reinigende Fläche aufgetragen und mit einem Fusselfreiem Tuch anschließend abgetrocknet.";https://www.faie.at/media/image/ae/63/21/art_pro_fo_ad_98966_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/grossgeraete-zubehoer/technische-sprays/sonstige-technische-sprays/5098966/glasreiniger-500ml-spruehflasche";lagernd (derzeit bis zu 10 Werktage Lieferzeit);3,95;4,99;"4015448551980"; 9,95;
"Akku Metabo 18V 2,0Ah";"Metabo";"FA98971";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeug Zubehör>Akkus und Ladegeräte";"Ultra-M-Technologie: intelligentes Batteriemanagement für langlebige Akkupacks mit 3-Jahresgarantie Patentierte ""AIR COOLED""-Ladetechnologie Permanente elektronische Einzelzellenüberwachung (ESCP) beim Laden, für besonders lange Lebensdauer Prozessorgesteuertes Lade- und Entlademanagement Kapazitätsanzeige zur permanenten Kontrolle des Füllzustands Kein Memoryeffekt Lange Lagerfähigkeit bei nahezu keiner Selbstentladung";https://www.faie.at/media/image/9b/66/fa/art_pro_fo_ab_98971_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeug-zubehoer/akkus-und-ladegeraete/5098971/akku-metabo-18v-2-0ah";lagernd (derzeit bis zu 10 Werktage Lieferzeit);59,95;79,90;"4007430249227"; 6,95;
